content;integritas;kapabilitas;empati;akseptabilitas;kontinuitas
Ketua adalah pemimpin berprinsip dan cakap dlm menentukan pilihan..Gerindra Menang!! Prabowo Presiden!! (cont) tl.gd/cnq4vf;0;1;0;0;0
Dahlan Iskan: Saya Akui Saya Payah: Direktur Utama PLN Dahlan Iskan merasa payah dalam mengelola kelistrik... tinyurl.com/4yw5qx7;0;1;0;0;0
?@Metro_TV: Hatta Rajasa Ingin Jadi RI-1. metrotvnews.com/read/news/2011??mulai serakah nihhh...;1;0;0;0;0
100% Agree!! +1juta RT @ThinkWL Prof. Mahfud MD adalah sosok pemimpin teladan.;1;0;0;0;0
Ternyata pak MAHFUD MD merasa tidak layak menjadi calon presiden 2014. Hanya ingin menjadi penegak hukum #Politic;0;1;0;0;0
"Megawati adalah calon kandidat presiden paling kuat sejauh ini menurutku. Cc : @DianTigamartil""";0;1;0;0;0
hatta rajasa dan surya paloh tidak cocok jadi presiden..;0;0;0;1;0
Mahfud MD Berpeluang Kuat jadi Cawapres 2014 bit.ly/wXZg3Y;0;1;0;0;0
Mahfud MD Teringat Semangat dlvr.it/1CdxN9;1;0;0;0;0
Rahmat Gobel-Mahfud MD cakap tuh. RT @timbosiahaan: Vote @RachmatGobel..:) @kahfi_siregar@ilham_bintang   m.tmi.me/m3WsC;0;1;0;0;0
Jusuf Kalla dan Mahfud MD Kandidat Kuat Capres Diusung PPP - Tribunnews tribunnews.com/2012/02/22/jus?via @tribunnews;0;0;0;1;0
dahlan iskan ini hebat yahhh.. Pemimpin yg berwawasan luas yg bs membawa perubahan..;1;1;0;0;0
Aihh bapa jokowi merakyat bgt deh.. ?(???)/?;0;0;1;0;0
JokoWi merakyat! Salut!;0;0;1;0;0
+1 RT @aditryan: Jokowi merakyat. Beneran deh. Salut kalau soal ini sih.;1;0;1;0;0
 Kalla dan Mahfud Md. Masuk Bursa Wali Amanah UI | nasional j.mp/I634kw #fb #beritaedukasi;0;0;0;1;0
ramah tamah prabowo subianto pic.twitter.com/E8RMPq0D;0;0;1;0;0
"Setuju  SANGAT TIDAK LAYAK. Tapi Surya Paloh juga tdk layak RT @Metro_TV Pengamat: Ical Tidak Layak Jadi Presiden bit.ly/IAeyQk""";0;0;0;1;0
 Pak Jusuf Kalla. Anda memang hebat!;1;0;0;0;0
 Jusuf Kalla adalah Negarawan yang memberikan teladan pada kader kader Partai Golkar.;1;0;0;0;0
"Gagah sekali pidato'a Surya Paloh Karismatik banget ??'?') ('?'??""";0;1;0;0;0
"Salah satu kelemahan Surya Paloh dia kecanduan pidato.""";0;1;0;0;0
" Hasil Survei Prabowo Calon Kuat Presiden 2014 fb.me/2hTg4fAvw""";0;0;0;1;0
"Mahfud MD cakap juga jadi presiden selain Antasari Azhar """;0;1;0;0;0
"3) Jusuf Kalla Wiranto Megawati Surya Paloh itu masa lalu yang mungkin tidak cocok untuk Presiden kedepan.""";0;0;0;1;0
