content;integritas;kapabilitas;empati;akseptabilitas;kontinuitas;;;;
Ketua adalah pemimpin berprinsip dan cakap dlm menentukan pilihan..Gerindra Menang!! Prabowo Presiden!! (cont) tl.gd/cnq4vf;-1;1;-1;-1;-1;;;;
Dahlan Iskan: Saya Akui Saya Payah: Direktur Utama PLN Dahlan Iskan merasa payah dalam mengelola kelistrik... tinyurl.com/4yw5qx7;-1;0;-1;-1;-1;;;;
?@Metro_TV: Hatta Rajasa Ingin Jadi RI-1. metrotvnews.com/read/news/2011??mulai serakah nihhh...;0;-1;-1;-1;-1;;;;
100% Agree!! +1juta RT @ThinkWL Prof. Mahfud MD adalah sosok pemimpin teladan.;1;-1;-1;-1;-1;;;;
Ternyata pak MAHFUD MD merasa tidak layak menjadi calon presiden 2014. Hanya ingin menjadi penegak hukum #Politic;-1;0;-1;-1;-1;;;;
"Megawati adalah calon kandidat presiden paling kuat sejauh ini menurutku. Cc : @DianTigamartil""";-1;-1;-1;1;-1;;;;
hatta rajasa dan surya paloh tidak cocok jadi presiden..;-1;-1;-1;0;-1;;;;
Mahfud MD Berpeluang Kuat jadi Cawapres 2014 bit.ly/wXZg3Y;-1;1;-1;-1;-1;;;;
 Mahfud MD Teringat Semangat dlvr.it/1CdxN9;1;-1;-1;-1;-1;;;;
Rahmat Gobel-Mahfud MD cakap tuh. RT @timbosiahaan: Vote @RachmatGobel..:) @kahfi_siregar@ilham_bintang   m.tmi.me/m3WsC;-1;1;-1;-1;-1;;;;
Jusuf Kalla dan Mahfud MD Kandidat Kuat Capres Diusung PPP - Tribunnews tribunnews.com/2012/02/22/jus?via @tribunnews;-1;-1;-1;1;-1;;;;
dahlan iskan ini hebat yahhh.. Pemimpin yg berwawasan luas yg bs membawa perubahan..;1;1;-1;-1;-1;;;;
Aihh bapa jokowi merakyat bgt deh.. ?(???)/?;-1;-1;1;-1;-1;;;;
JokoWi merakyat! Salut!;-1;-1;1;-1;-1;;;;
+1 RT @aditryan: Jokowi merakyat. Beneran deh. Salut kalau soal ini sih.;1;-1;1;-1;-1;;;;
 Kalla dan Mahfud Md. Masuk Bursa Wali Amanah UI | nasional j.mp/I634kw #fb #beritaedukasi;-1;-1;-1;1;-1;;;;
ramah tamah prabowo subianto pic.twitter.com/E8RMPq0D;1;-1;1;-1;-1;;;;
"Setuju  SANGAT TIDAK LAYAK. Tapi Surya Paloh juga tdk layak RT @Metro_TV Pengamat: Ical Tidak Layak Jadi Presiden bit.ly/IAeyQk""";-1;-1;-1;0;-1;;;;
 Pak Jusuf Kalla. Anda memang hebat!;1;-1;-1;-1;-1;;;;
 Jusuf Kalla adalah Negarawan yang memberikan teladan pada kader kader Partai Golkar.;1;-1;-1;-1;-1;;;;
"Gagah sekali pidato'a Surya Paloh Karismatik banget ??'?') ('?'??""";-1;1;-1;-1;-1;;;;
"Salah satu kelemahan Surya Paloh dia kecanduan pidato.""";-1;0;-1;-1;-1;;;;
" Hasil Survei Prabowo Calon Kuat Presiden 2014 fb.me/2hTg4fAvw""";-1;-1;-1;1;-1;;;;
"Mahfud MD cakap juga jadi presiden selain Antasari Azhar """;-1;1;-1;-1;-1;;;;
"3) Jusuf Kalla Wiranto Megawati Surya Paloh itu masa lalu yang mungkin tidak cocok untuk Presiden kedepan.""";-1;-1;-1;0;-1;;;;
"orang licik yang gak malu mencalonkan dirinya sebagai presiden Aburizal Bakrie emang binatang!""";0;-1;-1;-1;-1;;;;
licik aburizal bakrie ini;0;-1;-1;-1;-1;;;;
"Jokowi merakyat Jokowi memikirkan rakyat""";-1;-1;1;-1;-1;;;;
 hari ini Wiji Thukul berulang tahun. Neil Amstrong meninggal. Prabowo masih jadi idola.;1;-1;-1;-1;-1;;;;
pokoke jokowi konsisten deh terhadap rencananya apalagi di jkt dia sudah ada plannnya pasti di laksanakan#jakarta1;1;-1;-1;-1;-1;;;;
 Jokowi Tangguh (Indonesia Tangguh) #replacemovietitlewithjokowi #JokowiAhok @nafaurbach15;-1;1;-1;-1;-1;;;;
 Jusuf Kalla emang orang hebat deh;1;-1;-1;-1;-1;;;;
Jusuf Kalla emang hebat;1;-1;-1;-1;-1;;;;
 ...hebat Pak Jusuf Kalla.;1;-1;-1;-1;-1;;;;
@sarahafshol gerindra dan pdi. Partai2 besaaaaar >;-1;-1;-1;-1;-1;;;;
"""@The_DarkPrince: bosan liat surya paloh kaya ngeliat SBY versi bewok--""""""""""";-1;-1;-1;-1;-1;;;;
Barusan ketemu pak surya paloh di vivo city ternyata dia ramah orgnya. . .tak sesangar brewoknya. . .;1;-1;-1;-1;-1;;;;
"Jokowi teladan bagi seluruh Gubernur Indonesia.. ""Mendengarkan maslah rkyt bukan 3D: datang duduk duit!?""";1;-1;1;-1;-1;;;;
 LSN: Prabowo dan Wiranto Calon Kuat Presiden 2014 metrotvn.ws/V162350;-1;-1;-1;1;-1;;;;
KNPI: Jokowi Teladan Bagi Pemuda Indonesia bit.ly/QQ0i5p;1;-1;-1;-1;-1;;;;
"Surya Paloh belum jadi pemimpin dan pejabat saja sdh bohong soal status nasdem gimana sdh jadi pejabat? Forget him !""";0;-1;-1;-1;-1;;;;
Agak-agak muak ngeliat iklannya ARB di tv..;-1;-1;-1;-1;-1;;;;
Dan Aburizal Bakrie pencitraan terus di televisi. Bosan.;0;-1;-1;-1;-1;;;;
"Muak lihat iklan ARB :-& such a trash full of bullshit""";-1;-1;-1;-1;-1;;;;
